Date and time;Alarm;Status
13/06/2022 10:11:30;Sensor #21 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #21 module error;OFF
13/06/2022 10:11:30;Sensor #20 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #20 module error;OFF
13/06/2022 10:11:29;Sensor #19 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #19 module error;OFF
13/06/2022 10:11:29;Sensor #18 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #18 module error;OFF
13/06/2022 10:11:29;Sensor #17 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #17 module error;OFF
13/06/2022 10:11:29;Sensor #16 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #16 module error;OFF
13/06/2022 10:11:29;Sensor #15 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #15 module error;OFF
13/06/2022 10:11:29;Sensor #14 Low Supercapacitor voltage;OFF
13/06/2022 10:11:29;Sensor #14 module error;OFF
13/06/2022 10:11:28;Sensor #13 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #13 module error;OFF
13/06/2022 10:11:28;Sensor #12 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #12 module error;OFF
13/06/2022 10:11:28;Sensor #11 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #11 module error;OFF
13/06/2022 10:11:28;Sensor #10 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #10 module error;OFF
13/06/2022 10:11:28;Sensor #9 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #9 module error;OFF
13/06/2022 10:11:28;Sensor #8 Low Supercapacitor voltage;OFF
13/06/2022 10:11:28;Sensor #8 module error;OFF
13/06/2022 10:11:27;Sensor #7 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #7 module error;OFF
13/06/2022 10:11:27;Sensor #6 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #6 module error;OFF
13/06/2022 10:11:27;Sensor #5 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #5 module error;OFF
13/06/2022 10:11:27;Sensor #4 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #4 module error;OFF
13/06/2022 10:11:27;Sensor #3 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #3 module error;OFF
13/06/2022 10:11:27;Sensor #2 Low Supercapacitor voltage;OFF
13/06/2022 10:11:27;Sensor #2 module error;OFF
13/06/2022 10:11:26;Sensor #1 Low Supercapacitor voltage;OFF
13/06/2022 10:11:26;Sensor #1 module error;OFF
13/06/2022 10:10:16;Last sensor or Gateway Communication error;OFF
13/06/2022 10:09:14;Sensor #34 module error;ON
13/06/2022 10:09:14;Sensor #34 Low Supercapacitor voltage;ON
